,age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome
25611,49,227,4,999,0,-0.1,93.2,-42.0,4.12,5195.8,1,1,2,1,0,0,0,7,4,1
26010,37,202,2,999,1,-0.1,93.2,-42.0,4.12,5195.8,2,1,6,0,0,0,1,7,4,0
40194,78,1148,1,999,0,-1.7,94.215,-40.3,0.87,4991.6,5,1,0,0,0,0,0,3,1,1
297,36,120,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,2,0,1,6,1,1
36344,59,368,2,999,0,-2.9,92.963,-40.8,1.262,5076.2,5,0,6,0,0,0,0,4,3,1
21806,29,256,2,999,0,1.4,93.444,-36.1,4.964,5228.1,0,2,6,0,0,0,0,1,4,1
37395,26,449,1,999,0,-2.9,92.201,-31.4,0.879,5076.2,8,2,2,0,0,0,1,1,4,1
25863,30,126,2,999,0,-0.1,93.2,-42.0,4.12,5195.8,1,1,0,0,2,0,0,7,4,1
7393,50,574,1,999,0,1.1,93.994,-36.4,4.864,5191.0,1,1,0,1,0,0,1,6,0,1
14697,33,498,5,999,0,1.4,93.918,-42.7,4.961,5228.1,0,2,3,0,2,0,0,3,3,1
17537,44,158,5,999,0,1.4,93.918,-42.7,4.962,5228.1,7,0,3,0,2,0,0,3,1,1
1595,32,93,5,999,0,1.1,93.994,-36.4,4.855,5191.0,9,1,6,0,2,0,1,6,0,1
13720,26,71,1,999,0,1.4,93.918,-42.7,4.963,5228.1,6,2,5,0,2,0,0,3,2,1
12258,43,203,1,999,0,1.4,93.918,-42.7,4.966,5228.1,4,1,6,0,0,2,1,3,2,1
32042,56,369,1,999,0,-1.8,92.893,-46.2,1.327,5099.1,1,1,2,0,0,0,0,6,2,1
31118,40,954,1,999,0,-1.8,92.893,-46.2,1.334,5099.1,1,1,2,0,2,0,0,6,4,1
20444,32,105,1,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,6,0,2,0,0,1,3,1
4216,47,148,5,999,0,1.1,93.994,-36.4,4.856,5191.0,9,2,5,1,0,0,1,6,3,1
6347,50,98,9,999,0,1.1,93.994,-36.4,4.857,5191.0,7,2,0,0,2,0,1,6,3,1
39226,34,288,2,3,1,-1.8,93.369,-34.8,0.652,5008.7,0,2,6,0,0,2,0,5,3,2
20441,46,177,1,999,0,1.4,93.444,-36.1,4.966,5228.1,7,1,7,0,0,0,0,1,3,1
32051,39,155,1,999,0,-1.8,92.893,-46.2,1.327,5099.1,1,1,0,0,0,0,0,6,2,1
12588,41,141,1,999,0,1.4,93.918,-42.7,4.96,5228.1,0,0,1,0,0,0,1,3,1,1
5656,30,144,3,999,0,1.1,93.994,-36.4,4.857,5191.0,9,2,7,0,2,0,1,6,1,1
39224,55,212,3,6,3,-1.8,93.369,-34.8,0.652,5008.7,10,0,6,0,0,0,0,5,3,2
40890,33,146,1,999,1,-1.1,94.601,-49.5,0.972,4963.6,1,2,0,0,2,0,0,8,0,0
28259,46,325,2,999,0,-1.8,93.075,-47.1,1.445,5099.1,7,1,3,0,0,0,0,0,4,1
25726,38,291,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,1,0,3,0,2,2,0,7,4,1
18238,36,103,1,999,0,1.4,93.918,-42.7,4.963,5228.1,0,0,6,1,2,2,0,3,4,1
22196,30,121,1,999,0,1.4,93.444,-36.1,4.963,5228.1,9,2,5,0,2,0,0,1,2,1
9348,34,236,7,999,0,1.4,94.465,-41.8,4.967,5228.1,9,2,3,0,0,0,1,4,0,1
40408,63,163,1,999,0,-1.7,94.027,-38.3,0.904,4991.6,5,1,0,0,0,0,0,1,2,1
41121,46,1166,3,999,1,-1.1,94.767,-50.8,1.046,4963.6,0,2,6,0,2,0,0,7,3,0
39927,44,134,1,999,1,-1.7,94.055,-39.8,0.742,4991.6,6,0,5,0,2,2,0,4,2,0
19319,55,89,1,999,0,1.4,93.444,-36.1,4.967,5228.1,5,1,0,1,2,2,0,1,4,1
35332,32,800,5,999,0,-1.8,92.893,-46.2,1.25,5099.1,0,2,6,0,0,0,0,6,0,1
13416,34,266,1,999,0,1.4,93.918,-42.7,4.962,5228.1,0,1,6,0,0,0,0,3,4,1
6196,33,367,5,999,0,1.1,93.994,-36.4,4.857,5191.0,6,1,6,0,0,0,1,6,3,1
29154,34,70,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,1,1,2,0,2,0,0,0,0,0
29683,23,297,4,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,1,3,0,0,0,0,0,1,1
32095,39,138,1,999,0,-1.8,92.893,-46.2,1.313,5099.1,1,1,1,0,0,0,0,6,0,1
1817,30,282,2,999,0,1.1,93.994,-36.4,4.855,5191.0,9,1,6,0,0,0,1,6,0,1
30362,41,774,2,999,1,-1.8,93.075,-47.1,1.365,5099.1,9,0,5,0,0,0,0,0,2,0
23737,55,60,4,999,0,1.4,93.444,-36.1,4.962,5228.1,11,1,7,1,2,0,0,1,2,1
9454,30,75,1,999,0,1.4,94.465,-41.8,4.967,5228.1,0,1,6,0,0,0,1,4,0,1
15659,48,88,4,999,0,1.4,93.918,-42.7,4.96,5228.1,7,0,3,0,0,2,0,3,1,1
37707,36,474,1,999,0,-2.9,92.201,-31.4,0.851,5076.2,9,2,5,0,2,0,0,1,2,1
24990,46,162,1,999,1,-0.1,93.2,-42.0,4.153,5195.8,6,1,0,0,2,2,0,7,3,0
28164,48,223,2,999,0,-1.8,93.075,-47.1,1.466,5099.1,0,2,3,0,0,0,0,0,1,1
9606,36,112,4,999,0,1.4,94.465,-41.8,4.961,5228.1,2,1,3,0,2,0,1,4,1,1
4723,53,232,1,999,0,1.1,93.994,-36.4,4.858,5191.0,6,1,6,0,2,0,1,6,4,1
1139,56,71,4,999,0,1.1,93.994,-36.4,4.856,5191.0,5,1,2,0,2,2,1,6,4,1
19678,48,642,3,999,0,1.4,93.444,-36.1,4.968,5228.1,1,1,7,1,1,1,0,1,2,1
32136,35,211,1,999,1,-1.8,92.893,-46.2,1.313,5099.1,1,1,2,0,0,0,0,6,0,0
19709,50,293,4,999,0,1.4,93.444,-36.1,4.968,5228.1,2,1,5,1,2,0,0,1,2,1
29788,32,230,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,9,2,5,0,2,2,0,0,1,0
10447,37,182,2,999,0,1.4,94.465,-41.8,4.96,5228.1,9,2,6,0,0,0,1,4,1,1
2060,56,154,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,0,3,1,0,0,1,6,1,1
14670,35,120,6,999,0,1.4,93.918,-42.7,4.961,5228.1,1,2,2,0,2,0,0,3,3,1
34202,51,440,2,999,0,-1.8,92.893,-46.2,1.281,5099.1,1,1,0,0,2,0,0,6,4,1
39954,51,297,4,999,0,-1.7,94.055,-39.8,0.754,4991.6,0,1,6,0,0,0,0,4,1,1
28681,44,172,2,999,0,-1.8,93.075,-47.1,1.41,5099.1,9,0,5,1,2,0,0,0,2,1
331,36,121,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,2,0,1,6,1,1
18359,36,616,2,999,0,1.4,93.918,-42.7,4.968,5228.1,10,1,6,0,0,0,0,3,2,1
22340,47,310,3,999,0,1.4,93.444,-36.1,4.963,5228.1,0,2,6,0,0,0,0,1,2,1
19791,30,126,1,999,0,1.4,93.444,-36.1,4.966,5228.1,9,2,5,0,2,0,0,1,0,1
18472,32,46,4,999,0,1.4,93.918,-42.7,4.968,5228.1,0,1,6,0,0,0,0,3,2,1
18113,39,197,4,999,0,1.4,93.918,-42.7,4.963,5228.1,0,1,6,1,2,0,1,3,4,1
37958,71,313,1,999,0,-3.4,92.379,-29.8,0.803,5017.5,5,1,5,0,0,0,0,9,0,1
25448,34,347,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,2,3,0,0,0,0,7,4,1
494,32,49,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,2,6,1,1,1,1,6,3,1
7344,58,226,1,999,0,1.1,93.994,-36.4,4.864,5191.0,7,1,0,0,0,0,1,6,0,1
13385,21,219,1,999,0,1.4,93.918,-42.7,4.962,5228.1,1,2,2,0,0,0,0,3,4,1
34980,39,8,6,999,0,-1.8,92.893,-46.2,1.25,5099.1,1,1,2,0,2,0,0,6,0,1
3051,39,173,7,999,0,1.1,93.994,-36.4,4.859,5191.0,2,1,3,1,0,2,1,6,4,1
24927,39,84,1,999,0,-0.1,93.2,-42.0,4.153,5195.8,4,1,3,0,2,0,0,7,3,1
4234,45,107,2,999,0,1.1,93.994,-36.4,4.856,5191.0,1,1,2,1,0,0,1,6,3,1
6066,40,371,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,2,3,0,0,0,1,6,3,1
21635,49,15,13,999,0,1.4,93.444,-36.1,4.963,5228.1,0,1,3,0,0,0,0,1,3,1
5190,48,115,2,999,0,1.1,93.994,-36.4,4.857,5191.0,9,2,3,0,2,2,1,6,0,1
4555,25,268,3,999,0,1.1,93.994,-36.4,4.856,5191.0,0,2,3,0,0,0,1,6,3,1
14766,49,284,1,999,0,1.4,93.918,-42.7,4.957,5228.1,1,0,7,1,2,0,0,3,4,1
32971,33,130,3,999,0,-1.8,92.893,-46.2,1.299,5099.1,1,2,2,1,0,0,0,6,1,1
17123,35,61,2,999,0,1.4,93.918,-42.7,4.962,5228.1,7,2,2,0,0,0,0,3,0,1
14132,33,611,2,999,0,1.4,93.918,-42.7,4.962,5228.1,2,1,6,0,0,0,0,3,1,1
7887,36,152,2,999,0,1.4,94.465,-41.8,4.865,5228.1,3,1,0,0,0,0,1,4,1,1
4569,49,363,5,999,0,1.1,93.994,-36.4,4.856,5191.0,0,2,3,0,0,0,1,6,3,1
34904,30,67,1,999,1,-1.8,92.893,-46.2,1.25,5099.1,4,1,6,0,0,0,0,6,0,0
40273,77,218,2,3,1,-1.7,94.215,-40.3,0.893,4991.6,5,1,0,0,1,1,0,3,3,2
5377,34,247,1,999,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,0,2,0,1,6,0,1
34281,48,33,6,999,0,-1.8,92.893,-46.2,1.266,5099.1,4,0,6,1,0,0,0,6,2,1
17485,44,73,5,999,0,1.4,93.918,-42.7,4.962,5228.1,4,1,3,1,0,2,1,3,1,1
1350,50,189,1,999,0,1.1,93.994,-36.4,4.855,5191.0,10,1,5,0,0,0,1,6,2,1
16812,49,134,1,999,0,1.4,93.918,-42.7,4.962,5228.1,1,1,2,1,0,0,0,3,2,1
37457,28,489,5,999,0,-2.9,92.201,-31.4,0.873,5076.2,0,2,6,0,0,0,0,1,2,1
1938,50,878,3,999,0,1.1,93.994,-36.4,4.855,5191.0,1,0,2,0,0,0,1,6,0,1
36335,40,154,1,999,1,-2.9,92.963,-40.8,1.262,5076.2,0,2,3,0,2,0,0,4,3,0
35121,48,18,8,999,0,-1.8,92.893,-46.2,1.25,5099.1,7,1,2,1,0,0,0,6,0,1
18771,32,50,6,999,0,1.4,93.918,-42.7,4.968,5228.1,9,1,6,0,2,2,1,3,2,1
9567,29,255,1,999,0,1.4,94.465,-41.8,4.961,5228.1,0,1,3,0,0,0,1,4,1,1
32589,29,26,1,999,0,-1.8,92.893,-46.2,1.299,5099.1,0,2,3,0,2,0,1,6,1,1
27614,55,110,2,999,0,-0.1,93.2,-42.0,4.021,5195.8,2,0,6,0,0,0,0,7,0,1
7011,45,56,2,999,0,1.1,93.994,-36.4,4.86,5191.0,11,1,7,1,2,0,1,6,2,1
8061,52,56,8,999,0,1.4,94.465,-41.8,4.865,5228.1,9,0,5,1,2,0,1,4,1,1
34207,32,75,4,999,0,-1.8,92.893,-46.2,1.281,5099.1,9,2,6,0,2,0,0,6,4,1
6303,38,153,2,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,5,1,2,0,1,6,3,1
38337,33,233,1,999,0,-3.4,92.431,-26.9,0.739,5017.5,0,2,6,0,2,0,0,8,0,1
23489,29,94,4,999,0,1.4,93.444,-36.1,4.962,5228.1,9,2,5,0,2,0,0,1,2,1
21451,37,198,2,999,0,1.4,93.444,-36.1,4.963,5228.1,0,1,6,0,2,0,0,1,3,1
39342,80,156,1,999,0,-1.8,93.369,-34.8,0.635,5008.7,5,1,0,0,2,0,0,5,2,1
27230,57,109,1,999,0,-0.1,93.2,-42.0,4.021,5195.8,4,1,6,0,2,0,1,7,0,1
34744,37,604,4,999,0,-1.8,92.893,-46.2,1.266,5099.1,1,0,2,0,2,0,1,6,2,1
7735,40,84,3,999,0,1.1,93.994,-36.4,4.864,5191.0,0,1,3,1,0,2,1,6,0,1
16240,43,483,7,999,0,1.4,93.918,-42.7,4.961,5228.1,7,0,7,1,2,2,0,3,3,1
26863,22,16,1,999,0,-0.1,93.2,-42.0,4.076,5195.8,1,2,0,0,2,0,1,7,2,1
31618,41,46,1,999,0,-1.8,92.893,-46.2,1.327,5099.1,6,1,5,0,2,0,0,6,2,1
12562,35,153,1,999,0,1.4,93.918,-42.7,4.96,5228.1,1,2,1,1,2,0,0,3,1,1
15593,37,179,2,999,0,1.4,93.918,-42.7,4.96,5228.1,1,1,2,1,0,0,1,3,1,1
31957,44,245,3,999,0,-1.8,92.893,-46.2,1.327,5099.1,9,0,5,0,2,0,0,6,2,1
